Model,Accuracy,Precision,Recall,F1-score
Random Forest,0.9931818181818182,0.9935064935064936,0.993181818181818,0.9931775541531639
SVM,0.9886363636363636,0.9893742621015349,0.9886363636363634,0.988620707491054
Decision Tree,0.9886363636363636,0.9893742621015349,0.9886363636363636,0.9884930494686593
KNN,0.9772727272727273,0.9790081789093645,0.9772727272727273,0.9770894225375225
